comparison,metric,p_value,effect_size,significant
baseline vs full_steerage,steps_to_0.9,0.0,-0.4429,True
baseline vs full_steerage_v1,steps_to_0.9,0.0,-0.4429,True
full_steerage vs full_steerage_v1,steps_to_0.9,1.0,0.0,False
