final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,5.3065508836880326e-05,9500,9500,0.6663247009021854,0.8132876930940964,0.14990470551332874,baseline,40
1.0,9.231402145815082e-06,9000,10000,0.678784237139949,0.9323870257405339,0.13510451140124374,baseline,81
1.0,8.45883823785698e-06,6500,8000,0.6926563198658287,0.9586701517689121,0.12554750290940833,baseline,114
1.0,7.683519470447209e-06,6500,7000,0.7041055802362962,0.9674348973286888,0.12066685683892786,baseline,94
1.0,4.0776198147796094e-05,9500,9500,0.6666763010574677,0.8137553595436986,0.15027747345164924,baseline,93
1.0,6.5803296820377e-06,6500,7500,0.7132216435152421,0.9735286589664988,0.11615812634105538,baseline,108
1.0,7.1773119998397306e-06,8500,9500,0.6999881389275209,0.9338310615293535,0.1344010255664254,baseline,123
1.0,1.0111354640685022e-05,8000,9000,0.6906135969373179,0.9425779419085836,0.13145667027312072,baseline,92
1.0,7.36535321266274e-06,8500,9500,0.6990534798639315,0.9301757387074296,0.13496898525293666,baseline,45
1.0,3.5416549508227035e-05,9000,9500,0.6787150062655646,0.9112189689081726,0.14035820953194894,baseline,56
1.0,8.476939910906367e-06,7500,9000,0.6909571911671388,0.9447258358773925,0.1305020206749827,baseline,50
1.0,1.0428235327708535e-05,7500,9000,0.6870114034357903,0.9483317476816672,0.1297880223297087,baseline,105
1.0,7.503471806558082e-06,9000,10000,0.6981673329640983,0.9389691473369713,0.13277101820198567,baseline,9
1.0,6.205865702213487e-06,6500,7500,0.7175032720511706,0.9747471537466172,0.11455482643561116,baseline,51
1.0,1.0412957635708153e-05,9000,10000,0.6832293009197602,0.9256833405159359,0.1369038554205913,baseline,66
1.0,6.6720813265419565e-06,8000,9000,0.705804638429965,0.952109498820569,0.12565177564825256,baseline,47
1.0,3.607652979553677e-05,9000,9500,0.6767052648377261,0.8357700010114397,0.1498481652543914,baseline,0
1.0,5.59589643671643e-05,9500,10000,0.6587134810267776,0.8431938956183537,0.1457065202567553,baseline,35
1.0,4.504487878875807e-05,10000,10000,0.6640377514432089,0.9248003894175533,0.13566906162490455,baseline,102
1.0,8.409604561165906e-06,8500,9500,0.6889595484592441,0.9377054906734161,0.13329976906571625,baseline,37
1.0,6.64385834170389e-06,8000,9000,0.7007261995641916,0.9317357270147771,0.13386545577699388,baseline,103
