final_test_acc,final_test_loss,steps_to_0.5,steps_to_0.9,weight_norm_reduction,benford_chi2_reduction,p1_change,condition,seed
1.0,5.744965164922178e-05,5500,6500,0.7744042729698487,0.9986005489483749,0.13380650714532674,full_steerage_v2,13
1.0,0.0019713935907930136,6000,8000,0.7471719315391128,0.9783440351419712,0.162223946928662,full_steerage_v2,62
1.0,4.039810301037505e-05,6000,6500,0.7799139563035737,0.983786739647925,0.1195869828281664,full_steerage_v2,73
1.0,5.177266939426772e-05,6500,7500,0.7771351311597421,0.9928233214284302,0.1312026406015904,full_steerage_v2,8
1.0,5.445869828690775e-05,5500,6000,0.7762009110424485,0.9945559923263971,0.12818820588913216,full_steerage_v2,46
1.0,0.017677342519164085,6000,6500,0.734667279658227,0.9775241542862786,0.16086348968537512,full_steerage_v2,30
1.0,0.006463708356022835,8500,8500,0.7479261839081982,0.9665979631453263,0.16160539356920592,full_steerage_v2,44
1.0,0.00019106680701952428,6500,8000,0.7635007210248188,0.9917304784065715,0.14629732338365795,full_steerage_v2,22
1.0,7.137926877476275e-05,6500,8000,0.7727523637069664,0.9970578831578143,0.13686235882217354,full_steerage_v2,86
1.0,3.836322503047995e-05,5500,6000,0.7871387932380394,0.9860491323569167,0.12090782384464677,full_steerage_v2,121
1.0,0.00025765071040950716,8000,8500,0.7613119754308059,0.9886785475870509,0.13719369453728247,full_steerage_v2,57
1.0,0.005390205420553684,8000,9000,0.7332440585810073,0.9556155733936735,0.16057537167223696,full_steerage_v2,80
1.0,4.799377347808331e-05,6000,7500,0.7814354111481296,0.9950165465985157,0.13186351129422613,full_steerage_v2,61
1.0,5.946405872236937e-05,6000,7500,0.7775894088391887,0.9960913138594555,0.1317248545004034,full_steerage_v2,89
1.0,7.131586608011276e-05,6000,7500,0.7675458512065861,0.9942776628685797,0.13019062608044255,full_steerage_v2,90
1.0,0.0002221850591013208,8000,8000,0.7673659667126648,0.9929421549429185,0.13946262389074568,full_steerage_v2,88
1.0,4.9166690587298945e-05,6000,6000,0.7825702488272991,0.9826169389885268,0.11975895326725824,full_steerage_v2,115
1.0,4.607045048032887e-05,5500,6000,0.7853647717067956,0.9945467052575832,0.12849973349083782,full_steerage_v2,2
1.0,0.00026643736055120826,8500,8500,0.7644523760862123,0.986783382580551,0.1452393900541662,full_steerage_v2,40
1.0,0.0001874576264526695,7500,8500,0.7711583241389569,0.9930384041222219,0.13682094185778493,full_steerage_v2,81
1.0,0.00015537011495325714,8000,8500,0.768966466814785,0.9923671727238768,0.1439824752218509,full_steerage_v2,114
1.0,0.0001693927333690226,7000,7500,0.7719574264647477,0.9815745403645847,0.11908277630517458,full_steerage_v2,94
1.0,0.00014149936032481492,8500,8500,0.771568352705533,0.9951344639735213,0.14089871211248128,full_steerage_v2,93
1.0,0.000199596761376597,8000,8500,0.770058594865196,0.9922740121386181,0.1342593926472283,full_steerage_v2,108
1.0,0.0026280158199369907,7000,8000,0.7584997534299079,0.981980816953683,0.1564021623256886,full_steerage_v2,123
1.0,0.00014707939408253878,8000,8000,0.7720407230051722,0.9897484649818677,0.1324973709231301,full_steerage_v2,92
1.0,4.998543954570778e-05,6500,7500,0.7835171730266459,0.9855167621123286,0.12339914428950097,full_steerage_v2,45
1.0,0.0002669297973625362,7500,8500,0.7598997019345928,0.9924322178716404,0.13885397458799126,full_steerage_v2,56
1.0,9.70463952398859e-05,7000,8000,0.7696588755035124,0.9904971110917999,0.13166182868502938,full_steerage_v2,50
1.0,0.0001280727592529729,7000,8000,0.77354603831559,0.9993274478245339,0.13758895643655641,full_steerage_v2,105
1.0,0.00017090675828512758,7000,8000,0.7695714124044062,0.9853794836837786,0.14555722023740925,full_steerage_v2,9
1.0,6.118040619185194e-05,7000,8000,0.7841714850821832,0.99028237376949,0.13532813040221275,full_steerage_v2,51
1.0,0.0001920426293509081,7000,8000,0.778160186967724,0.9966426779268804,0.1396517013368676,full_steerage_v2,66
1.0,0.0003050302329938859,8000,8500,0.7717175716764683,0.997759103055244,0.1378788751872767,full_steerage_v2,47
1.0,4.27583945565857e-05,6500,7000,0.7821857903906552,0.9901789744770454,0.1250252103261496,full_steerage_v2,0
1.0,0.0001555185008328408,7500,8000,0.7681137822788462,0.9922054309597533,0.13175456667050822,full_steerage_v2,35
1.0,0.0001408920215908438,7500,8000,0.7699376053937421,0.9878234690966646,0.12940100265068574,full_steerage_v2,102
1.0,6.688272696919739e-05,5500,6500,0.7807937144537394,0.9871034085414202,0.121957653855019,full_steerage_v2,37
1.0,0.006528422236442566,6500,8000,0.7464413677559064,0.9704078309927258,0.15413143223464332,full_steerage_v2,103
1.0,6.213515007402748e-05,5500,7000,0.7665026218916046,0.9994615358079084,0.1370658421689524,full_steerage_v2,5
0.9996135234832764,0.01353065948933363,8000,8000,0.7374592054985968,0.9384811906852262,0.16412552581537398,full_steerage_v2,59
1.0,0.0080808624625206,6000,7500,0.7418703607121464,0.9789849415836444,0.16012068543275323,full_steerage_v2,1
0.37835749983787537,2.2186684608459473,6500,8000,0.7451304314769042,0.9573990371655584,0.16478009392647225,full_steerage_v2,98
1.0,0.00013495466555468738,6500,8500,0.7708680281283248,0.9954952730767201,0.13450789443355998,full_steerage_v2,19
1.0,4.0812497900333256e-05,6500,7500,0.7830650218794205,0.9917010844430494,0.13238122334908375,full_steerage_v2,110
1.0,0.00012934689584653825,7000,7500,0.7701980707679352,0.9950006401288017,0.13913579001959203,full_steerage_v2,52
1.0,6.247623241506517e-05,6500,7500,0.7726004532403231,0.9979980463330602,0.1384920263339864,full_steerage_v2,83
1.0,0.009608387015759945,7500,8500,0.7368990860841909,0.9429807905180468,0.1718858044254927,full_steerage_v2,120
1.0,4.3918858864344656e-05,5500,6000,0.7860544371913212,0.9848667514621486,0.12368996340901237,full_steerage_v2,69
1.0,0.005930877756327391,7000,8500,0.7539213283081482,0.987106422133332,0.15564675290999191,full_steerage_v2,67
1.0,4.517389243119396e-05,6500,7500,0.7826551630399118,0.99435869821936,0.1349580788290884,full_steerage_v2,63
1.0,9.559527825331315e-05,7000,7500,0.774771909015944,0.9862880605593053,0.1217136539126426,full_steerage_v2,26
1.0,2.967821274069138e-05,5500,5500,0.7852944873167491,0.9870365108748066,0.12226828108793361,full_steerage_v2,28
1.0,4.021374479634687e-05,5500,6000,0.774964183151325,0.9820428791555679,0.11927455485766969,full_steerage_v2,117
0.43922704458236694,2.0484657287597656,5500,6000,0.7604356780867325,0.8820312198010275,0.1885345237409243,full_steerage_v2,116
